X,Y,Name,description
-0.890468165665254,54.573691,Skinningrove,
-0.957449,54.588864,Saltburn Point,
-0.97189548143237,54.587923,Saltburn Beach,
-1.04819754158244,54.620209,Redcar,
-1.09211,54.626058,Marske to Tees,
-1.14128,54.644325,The Gare,
-1.19232710584573,54.674696,Hartlepool,
-1.28548,54.809632,Hartlepool to Sunderland,
-1.35072046267409,54.958737,Whitburn,
-1.407991,54.999818,South Shields,
-1.41548708717075,55.014228,Black Middens,
-1.41823342626777,55.019771,Tynemouth - Eddies,
-1.42337663233683,55.02668,Tynemouth - Longsands,
-1.44433109504928,55.048533,Whitley Bay,
-1.45993293604718,55.078123,Hartley Reef,
-1.4916411347789,55.100395,Seaton To Blyth,
-1.49553238079767,55.186126,Newbiggin,
-1.66011387453533,55.588586,Seahouses,
-1.7117525578165,55.614459,Bamburgh,
-1.77639998846688,55.666968,Holy Island,
